know_mh_options_previous,mh_anonymity_protected_previous,total,sought_treatment,pct_sought_treatment
N/A (not currently aware),No,34,27,79.41
"No, I only became aware later",Sometimes,5,4,80.0
"No, I only became aware later","Yes, always",6,5,83.33
N/A (not currently aware),I don't know,142,121,85.21
I was aware of some,"Yes, always",25,22,88.0
I was aware of some,No,9,8,88.89
"No, I only became aware later",I don't know,27,24,88.89
I was aware of some,I don't know,106,97,91.51
I was aware of some,Sometimes,38,36,94.74
"Yes, I was aware of all of them","Yes, always",42,40,95.24
"Yes, I was aware of all of them",I don't know,38,37,97.37
N/A (not currently aware),"Yes, always",6,6,100.0
N/A (not currently aware),Sometimes,4,4,100.0
"Yes, I was aware of all of them",No,9,9,100.0
"No, I only became aware later",No,12,12,100.0
"Yes, I was aware of all of them",Sometimes,10,10,100.0
