know_mh_options_previous,willingness_group,total
I was aware of some,Not willing (none),108
I was aware of some,Uncertain,15
I was aware of some,Willing (any),260
N/A (not currently aware),Not willing (none),207
N/A (not currently aware),Uncertain,62
N/A (not currently aware),Willing (any),310
"No, I only became aware later",Not willing (none),40
"No, I only became aware later",Uncertain,14
"No, I only became aware later",Willing (any),63
"Yes, I was aware of all of them",Not willing (none),61
"Yes, I was aware of all of them",Uncertain,9
"Yes, I was aware of all of them",Willing (any),111
