predictor,predictor_value,total,comfortable_coworkers,pct_comfortable_coworkers
Anonymity Protected,No,84,13,15.48
Anonymity Protected,I don't know,739,151,20.43
Anonymity Protected,Yes,319,110,34.48
Formal Discussion Offered,No,811,159,19.61
Formal Discussion Offered,I don't know,102,27,26.47
Formal Discussion Offered,Yes,229,88,38.43
Know Options,No,352,72,20.45
Know Options,I am not sure,351,77,21.94
Know Options,Yes,307,87,28.34
Observed Negative Consequences,true,97,18,18.56
Observed Negative Consequences,false,1045,256,24.5
